Gene	GM23913_day0_htseq_counts	GM23913_day14_htseq_counts	GM23913_day21_htseq_counts	GM23913_day35_htseq_counts	GM23913_day60_htseq_counts	GM25256_day0_htseq_counts	GM25256_day14_htseq_counts	GM25256_day21_htseq_counts	GM25256_day35_htseq_counts	GM25256_day60_htseq_counts	NCRM_day0_htseq_counts	NCRM_day14_htseq_counts	NCRM_day21_htseq_counts	NCRM_day35_htseq_counts	NCRM_day60_htseq_counts
ACSL3	26734	4105	6588	10172	11097	23745	19227	16808	18400	28761	32585	6837	8621	18109	24902
ACSL3-AS1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACSL4	14666	4876	4315	4246	10065	11525	14948	12159	6393	23997	16550	6146	5558	15094	19285
ACSL5	12	31	36	27	31	26	155	108	85	204	27	29	28	47	38
ACSL6	285	8	73	309	1851	245	73	626	912	8094	308	22	191	1365	2105
ACSL6-AS1	2	0	13	4	30	1	6	27	35	80	1	0	7	6	8
ACSM1	5	0	1	1	3	396	7	65	14	9	39	7	3	3	4
ACSM2A	3	0	0	0	0	0	1	6	3	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	4	3	450	103	0	0	0	0	0	0
ACSM3	939	127	40	1	12	1080	202	255	45	76	1043	707	696	22	14
ACSM4	5	0	4	1	9	5	14	19	5	18	9	6	14	20	32
ACSM5	3	0	0	0	0	7	1	86	1	15	2	0	1	0	2
ACSM6	90	4	3	2	4	63	28	11	1	4	71	1	1	2	4
ACSS1	627	289	469	460	481	501	1462	689	951	1946	269	1123	597	255	242
ACSS2	3226	2103	2220	1668	1807	3156	5041	5574	4046	6528	4516	2572	2317	3129	2643
ACSS3	6399	2018	1088	396	1012	8581	8538	2731	1466	2967	6520	2649	638	490	831
ACTA1	2260	22	18	70	89	73	87	97	22	142	102	20	40	41	97
ACTA2	177	3016	1351	177	184	222	9419	2767	797	1902	87	2461	475	338	621
ACTA2-AS1	0	6	5	2	8	3	43	8	3	27	4	11	4	13	26
ACTB	616174	132273	181511	179895	106736	674724	558407	562775	411184	291374	651697	234389	205841	144918	131672
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ACTBP15	2	2	1	2	1	5	10	3	0	1	2	0	1	0	0
ACTBP4	3	0	0	0	0	7	1	0	1	0	2	0	0	0	0
ACTC1	4861	167	106	143	9	1969	342	1217	32	27	1725	183	145	88	14
ACTE1P	2	7	3	3	5	2	9	3	2	18	5	3	2	6	3
ACTG1	390056	110085	208763	409111	110509	326835	519981	642525	788030	356335	436299	213924	231285	219441	109247
ACTG1P25	582	118	169	148	86	618	316	193	151	167	452	109	140	77	94
ACTG2	1259	17	22	10	3	230	45	13	41	164	296	31	44	8	19
ACTL10	40	14	13	6	12	53	45	43	19	22	37	10	23	7	5
ACTL11P	11	1	1	3	0	12	3	4	1	0	7	2	1	1	0
ACTL6A	9753	5362	9036	5403	1238	10095	20403	24520	11248	7319	12388	6902	6836	2916	802
ACTL6B	250	2	318	2804	2979	129	215	2560	4668	8097	210	64	850	3225	2494
ACTL7A	0	0	0	0	0	2	1	0	2	0	0	0	0	2	0
ACTL7B	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0
ACTL8	98	0	3	3	3	195	32	12	15	10	137	3	3	9	1
ACTL9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	45952	11496	4495	2165	1707	33712	37759	11657	6011	5912	43078	14079	5051	2870	3437
ACTN1-DT	27	4	13	0	1	24	10	15	4	3	28	6	4	1	0
ACTN2	485	37	66	85	403	523	133	109	86	986	453	26	42	159	472
ACTN3	4110	586	122	3	5	2735	494	206	4	9	1271	512	81	8	1
ACTN4	50416	6223	6781	7166	3234	31756	30247	17398	15587	10941	38042	10868	8608	6068	4608
ACTR10	5334	2119	6228	8294	10149	6233	14570	25928	14485	36931	5230	3913	5382	8197	6787
ACTR1A	15700	6784	9368	12503	11208	16232	27172	24220	24072	30440	16809	11171	12567	17691	12960
ACTR1AP1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
ACTR1B	4073	2944	4103	2746	3240	6634	11724	9759	6035	10938	5188	3641	3455	3930	2652
ACTR2	50192	18417	23446	24789	18567	63732	95860	62655	50396	60508	59115	35363	28692	34377	24158
ACTR3	33126	10548	15376	17114	14030	31006	43656	48297	33592	50274	30993	16373	15125	19339	13206
ACTR3-AS1	41	8	49	9	110	68	94	94	37	342	63	19	26	38	73
ACTR3B	3491	1631	1990	1015	1425	3214	8209	4543	2209	3652	3850	2470	1346	1444	1553
ACTR3BP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	45	5	5	7	11	39	45	40	6	21	23	3	0	1	1
ACTR5	1987	679	810	550	343	1715	2950	2193	1188	1260	1848	1076	781	480	277
ACTR6	5277	1343	2956	3162	4225	5758	6915	8612	6002	17617	4784	2210	2167	3665	2697
ACTR8	5311	2051	2637	4466	2333	4800	8249	5353	6042	6093	4937	3367	3281	4807	3063
ACTRT1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0
ACTRT1P1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0
ACTRT3	763	20	45	6	18	445	98	46	5	22	450	32	32	16	63
ACVR1	4083	492	468	561	920	3954	2665	1755	1290	1749	3882	1193	867	1010	1812
ACVR1B	2897	2507	2636	6305	4459	8400	12596	8443	11642	10768	7359	4437	4786	11300	6770
ACVR1C	592	9	8	2	12	669	87	80	15	44	382	39	11	16	28
ACVR2A	3084	1027	4728	8013	6185	4108	5044	9406	11151	21998	3044	2409	6487	10197	6023
ACVR2B	35235	12908	12489	23088	4889	39165	61570	25847	39110	14297	39731	18821	23342	36322	8957
ACVR2B-AS1	427	140	166	158	43	572	489	272	188	143	508	222	264	146	58
ACVRL1	45	8	5	1	2	178	69	43	8	15	93	25	14	10	4
ACY1	66	8	17	5	8	76	57	45	22	40	50	11	7	2	0
ACY3	15	0	1	0	0	16	0	1	0	10	8	2	0	0	0
ACYP1	1179	876	1384	679	2200	1071	3234	3375	1406	7873	1288	926	674	1783	1948
ACYP2	294	357	970	1001	1606	499	2384	3145	1865	6682	336	541	603	1172	958
ADA	2004	1517	1016	239	384	3122	3088	2315	894	2076	2776	760	359	246	275
ADA2	12737	2375	4173	4297	1231	6346	3029	2791	2340	1045	6587	1089	1335	1382	515
ADAD1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0
ADAD2	85	0	0	0	0	41	1	0	0	3	51	0	0	0	1
ADAL	2244	937	1286	1323	1134	3461	4917	3989	2676	4195	2947	1879	1689	1594	910
ADAM10	31481	10411	14779	14957	5867	31139	50495	37040	28898	19768	32155	16729	17672	15194	7529
ADAM11	407	377	527	545	613	710	2500	3324	1889	1638	558	919	3291	665	871
ADAM12	87	119	979	175	363	147	10191	4124	784	2043	85	2630	2316	920	523
ADAM15	2511	1759	1267	921	856	2792	5109	2533	2774	3178	3806	1426	686	805	800
ADAM17	6515	4160	6572	5876	3204	6909	17629	14869	11389	10244	6134	5280	4702	3950	2372
ADAM18	0	0	0	3	0	6	1	0	4	2	3	1	1	2	0
ADAM19	4137	1484	982	1310	934	4170	3313	1847	1858	2118	5777	1609	1403	2151	3679
ADAM2	0	0	0	0	1	3	1	1	0	43	1	0	0	3	3
ADAM20	5	0	2	7	7	5	6	9	16	20	5	2	1	8	1
ADAM21	25	15	19	20	93	24	85	62	69	311	29	18	13	76	83
ADAM22	4757	1916	1901	2869	3590	5044	7102	4306	5808	8109	4627	2370	2678	7790	5799
ADAM23	2478	955	1484	1561	2823	3822	5647	3331	3303	5541	3963	1623	1909	3967	4629
ADAM28	133	0	2	1	21	158	95	10	8	277	113	79	12	25	55
ADAM29	3	1	2	23	50	16	3	16	19	105	8	1	11	95	72
ADAM30	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ADAM32	21	19	39	33	39	66	166	91	45	174	27	55	25	25	50
ADAM33	433	27	21	0	3	601	222	658	2	59	582	198	32	3	3
ADAM7	3	0	2	0	0	3	6	0	4	2	2	0	1	1	2
ADAM8	672	104	117	107	94	592	314	232	136	258	473	119	79	88	48
ADAM9	4393	2841	4329	7672	6709	6716	16313	10524	17410	29288	5121	5722	3627	6569	7515
