"",baseMean,log2FoldChange,lfcSE,pvalue,padj,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,NCRM_day14-1,NCRM_day14-2,NCRM_day14-3
RTP1,19.5495096835946,-6.05101393583838,1.28699580628104,9.63244383213025e-08,4.007039041079e-07,37.3444370986202,28.4437700819217,32.8257026050773,1.0132706866499,0,0
SLC22A2,2.80830323498769,-6.0843208671664,2.75108332942022,7.1966146886648e-05,0.000221820563501541,15.4842787969888,9.59548870233504,12.8958117377089,0,0,0
RHCG,8.07203820356724,-6.11292864042196,2.51344493776929,4.39316863814898e-06,1.54899129861505e-05,10.9300791508157,13.022448953169,8.20642565126932,0,0,0
PTH2R,5.87183080891398,-6.13434043005147,2.55134648524382,7.32468568023934e-06,2.52284656535966e-05,7.2867194338771,14.0505370284192,11.723465216099,0,0,0
SLC6A20,4.15523426530569,-6.13640373099843,2.5889118598403,1.1890817510086e-05,4.00728325630533e-05,16.3951187262235,8.22470460200147,10.5511186944891,0,0,0
MGAT4C,494.200476501557,-6.14099876298622,0.439174133203499,3.00007287386097e-44,7.02794849154468e-43,346.119173109162,282.381524668717,249.123635842104,3.0398120599497,5.3284986569065,3.2847356928729
EPHA1,751.690285100044,-6.14855113972184,0.493484433555237,7.56741243712887e-37,1.39470919288276e-35,3515.8421268457,3697.69011064983,3792.54099740803,60.7962411989941,58.6134852259715,26.2778855429832
HPCAL4,1360.83127403661,-6.15008312189552,0.636461482270267,1.21275904575822e-21,1.23044419407406e-20,122.963390446676,134.336841832691,123.682558029845,4.05308274659961,0.888083109484416,0
FAM71F1,12.8642800506425,-6.15100099952986,1.04371274971362,3.89487258223132e-09,1.82328518021022e-08,52.828715895609,56.2021481136767,72.099311079009,0,0,2.1898237952486
BRINP1,1369.74016004205,-6.17140921048024,0.331960984469514,8.58346448591993e-78,4.8750574825133e-76,868.941292489845,716.577388449378,543.968786026995,13.1725189264487,6.21658176639092,9.85420707861871
SFRP5,17.4886216198311,-6.18110024093624,1.00685787894501,1.40109513981272e-09,6.8121030295227e-09,57.3829155417822,64.7695487407616,58.6173260804951,1.0132706866499,0,1.0949118976243
ITLN2,29.4565348939841,-6.18897856326453,0.697465014363312,5.25676457619415e-19,4.66802036233194e-18,159.396987616062,129.539097481523,117.23465216099,2.0265413732998,0,3.2847356928729
PLAAT5,118.684491349974,-6.21055812525529,0.341424693096829,8.86943427973803e-74,4.63978112791559e-72,572.918315488587,567.504617538101,518.763335812382,7.09289480654931,9.76891420432858,4.37964759049721
LARGE2,333.167686181839,-6.21303539544558,0.473309029783511,2.12611789287036e-40,4.37646900581228e-39,1521.10268182185,1598.67695701404,1735.65902524346,23.3052257929477,27.5305763940169,10.949118976243
FOXL2NB,22.8730308535004,-6.23917377225791,1.40996221500635,7.99187529295609e-07,3.0384411120624e-06,47.3636763202012,81.9043499949313,207.505334324953,0,1.77616621896883,1.0949118976243
AGK-DT,6.22102497894336,-6.24793417988422,2.57082461163465,5.69329931111801e-06,1.98305640927913e-05,9.10839929234638,8.56740062708486,18.1713710849535,0,0,0
FGD2,3.01024153009088,-6.25151369272506,2.72461236170105,3.54339254727374e-05,0.000113295742866071,12.7517590092849,15.0786251036694,12.309638476904,0,0,0
SMPDL3B,147.080390614765,-6.28353855382397,0.314518920760731,7.09961073353295e-89,5.15880330846532e-87,746.888741972403,698.757195145041,683.478022098573,9.11943617984911,9.76891420432858,7.66438328337011
MAS1,8.30750310940513,-6.29181241334122,1.3699538647447,1.53051154697091e-07,6.24089909922349e-07,49.1853561786704,34.9549945585062,34.5842223874921,0,0.888083109484416,0
PKHD1L1,6.84955691029921,-6.32033238616586,2.54563977146052,2.65587524709762e-06,9.56183805002934e-06,11.8409190800503,7.53931255183468,17.5851978241485,0,0,0
HCG24,6.35379059508438,-6.32475330526304,2.55287759219481,2.84247730841747e-06,1.0203294659262e-05,11.8409190800503,13.022448953169,11.723465216099,0,0,0
OTX2,190.151037409263,-6.33543305287703,0.307627200507044,1.02059911372243e-94,8.23283285069428e-93,1090.27539529386,925.279267725165,764.956105350461,13.1725189264487,10.656997313813,9.85420707861871
EMX1,8.41477800965451,-6.34080059590823,1.39962687073496,1.92043507694285e-07,7.75474581998252e-07,30.057717664743,41.8089150601741,53.3417667332506,1.0132706866499,0,0
TRIML2,283.698973298359,-6.38775044313325,0.237797460999879,7.60345259757971e-159,1.88932219455932e-156,1375.3682931443,1359.47513150583,1454.29586005708,17.2256016730483,20.4259115181416,10.949118976243
MEG9,14.7978922513353,-6.39031669871284,1.01898752311897,6.93946396526343e-10,3.45486301053245e-09,73.7780342680057,69.5672930919291,63.8928854277397,0,1.77616621896883,0
RAMP3,3.42286913934093,-6.39138155927272,2.67310153113461,1.23536058369241e-05,4.1572049630181e-05,14.5734388677542,15.0786251036694,11.723465216099,0,0,0
GPR176,1498.40365682548,-6.39252068450503,0.157225759037366,0,0,5718.25307573506,6219.93285526361,6444.97500255044,54.7166170790947,73.7108980872066,90.877687502817
CHP2,31.7585140563062,-6.41045702656538,0.700965006255554,4.6979550097646e-20,4.38150428692188e-19,123.874230375911,171.005316516614,175.26580498068,3.0398120599497,0,2.1898237952486
CPN1,3.26819826687579,-6.41426964658685,2.88570923660659,7.90748798287096e-05,0.000242656732344579,20.9493183723967,15.7640171538361,12.309638476904,0,0,0
ADGRG2,212.260092828305,-6.4315254950028,0.370700423834594,4.15846809582279e-68,1.84872471416531e-66,872.584652206783,793.683994093142,800.126500998758,5.06635343324951,10.656997313813,12.0440308738673
PSMB8-AS1,8.39800985156712,-6.44529875857616,2.56137487168839,1.83482927513262e-06,6.70826310127967e-06,9.10839929234638,14.735929078586,14.6543315201238,0,0,0
